Animal,Extinction Frame,SSIM Index,Final state check,Initial Entropy,Final Entropy,params
Pentapteryx serratus cavus labens,-1,0.953351798414907,stable,0.1572675471768412,0.16150164610980278,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.34, 's': 0.056}"
Hexapteryx arcus labens,-1,0.9376325931682367,stable,0.21623679442263394,0.2208093426200711,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Hexapteryx cavus labens,138,,,0.16355695177917765,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.05}"
Hexapteryx serratus cavus labens,-1,0.9378097356205064,stable,0.19340477953629667,0.19686545746337078,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.36, 's': 0.062}"
Heptapteryx arcus labens,-1,0.9263909777491465,stable,0.24369234250017374,0.2521977927743502,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Heptapteryx cavus labens,-1,0.9407890801030065,stable,0.18870611709202345,0.19443632049996787,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.05}"
Heptapteryx cavus labens cunctans,162,,,0.18406357107337568,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.333, 's': 0.048}"
Heptapteryx serratus cavus labens,-1,0.06534152730021993,soup,0.21895390746513074,1.6260118164746034,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.36, 's': 0.061}"
Heptapteryx serratus liquefaciens,-1,0.9281728559687573,stable,0.19919563931774217,0.2192952629817984,"{'R': 10, 'T': 10, 'b': '3/4,1,1', 'm': 0.34, 's': 0.051}"
Octapteryx arcus labens,-1,0.9162630522694588,stable,0.2730302529328037,0.2845815998333097,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Octapteryx cavus labens,461,,,0.21099348381861985,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.05}"
Octapteryx serratus cavus labens,-1,0.91841141142259,stable,0.25403860565237235,0.2583995137335263,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.065}"
Nonapteryx arcus labens,-1,0.9060875384976518,stable,0.3032384512683197,0.3143231463391832,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Nonapteryx cavus labens,-1,0.9192758845722137,stable,0.24677581022916925,0.2530243770817963,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.053}"
Nonapteryx serratus cavus labens,-1,0.9077275375619732,stable,0.295606353251781,0.30113121739264215,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.39, 's': 0.068}"
Nonapteryx serratus sinus labens,-1,0.9098811669895661,stable,0.2767230497518019,0.28133637901031255,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.064}"
Decapteryx arcus labens,-1,0.8991339505803294,stable,0.33761266106933424,0.34487761577534404,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Decapteryx cavus labens,-1,0.9104005479380456,stable,0.26741012823615606,0.2775257824355924,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.053}"
Decapteryx serratus sinus labens,-1,0.8965987354547285,stable,0.3388602484627402,0.3464075019254722,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.39, 's': 0.07}"
Tridecapteryx arcus valvatus,-1,0.8435200064624266,stable,0.4351623905437589,0.6589124626519821,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.402, 's': 0.0798}"
Tetracosapteryx arcus labens,-1,0.7437622528635462,stable,0.7020834579229899,0.7403119559851823,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Tetracosapteryx cavus labens,-1,0.7888052402769676,stable,0.5578801214801036,0.5830050347189903,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.053}"
Hexacaudopteryx,-1,0.743124636853666,soup,0.2575546930046323,0.8994017384877853,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.35, 's': 0.048}"
Hexacaudopteryx serratus cavus labens,-1,0.9273752041173285,stable,0.2241134191457846,0.22615130452890525,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.36, 's': 0.063}"
Octacaudopteryx serratus cavus labens,-1,0.9082690771975969,stable,0.27443736114106965,0.28156857983270983,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.064}"
Decacaudopteryx serratus sinus labens,-1,0.15196283891785575,soup,0.3398801411918951,1.8100278452031826,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.065}"
Catenopteryx cyclon,-1,0.004202479834696796,soup,0.11654955906463568,1.280722565765494,"{'R': 13, 'T': 5, 'b': '1', 'm': 0.34, 's': 0.045}"
Catenopteryx cyclon scutoides,-1,1.1303656771850897e-05,soup,0.1336217669671668,1.0755944499335974,"{'R': 13, 'T': 5, 'b': '1', 'm': 0.38, 's': 0.07}"
Catenopteryx cinguli,-1,0.7900089152210497,stable,0.6159842713267755,0.634962006061227,"{'R': 13, 'T': 5, 'b': '1', 'm': 0.38, 's': 0.07}"
Catenopteryx serratus cinguli,393,,,0.3414034298829278,,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.062}"
Helicium solidus,-1,0.9804793425726185,stable,0.1074098810998033,0.10694524966417157,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.35, 's': 0.059}"
Helicium arcus saliens,-1,0.9772279762455804,stable,0.10034666292280392,0.10547545601218207,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.3, 's': 0.0474}"
Helicium arcus saliens ignis,-1,0.011007814917041663,soup,0.10965293522565689,1.1487683153337254,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.323, 's': 0.0577}"
Helicium arcus pedes,-1,0.9891701195226081,stable,0.10438979855947167,0.10971327674693074,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.3, 's': 0.0505}"
Helicium cavus pedes,-1,0.02676371341796494,soup,0.08976104603849465,1.288977528085689,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.22, 's': 0.034}"
Helicium serratus ocellus,-1,0.9763715974411958,stable,0.10504208706347973,0.10671626534604316,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.31, 's': 0.048}"
Helicium serratus velox,-1,0.987980897780769,stable,0.10498376649261604,0.10581105661328412,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.29, 's': 0.047}"
Helicium serratus turbulentus,-1,0.982475042041184,stable,0.10639766859416831,0.10075247249963462,"{'R': 18, 'T': 10, 'b': '1/4,1/2,3/4,1', 'm': 0.2, 's': 0.02}"
Helicium serratus turbulentus,13,,,0.10639766859416831,,"{'R': 18, 'T': 10, 'b': '1/4,1/2,3/4,1', 'm': 0.2, 's': 0.02}"
Helicium serratus turbulentus,15,,,0.10639766859416831,,"{'R': 18, 'T': 10, 'b': '1/4,1/2,3/4,1', 'm': 0.2, 's': 0.02}"
Pentahelicium solidus,360,,,0.1494202034782192,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.35, 's': 0.048}"
Pentahelicium ignis,-1,0.9563211247304289,stable,0.16093203963762612,0.16529685577287523,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.32, 's': 0.039}"
Pentahelicium serratus limus,-1,0.9536276156453183,stable,0.16427052768720768,0.1651337599914676,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.37, 's': 0.06}"
Heptahelicium solidus,-1,0.9515805222535839,stable,0.2357243879022309,0.23380439574300718,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.055}"
Heptahelicium ignis,-1,0.9296419400296926,stable,0.24486342954610787,0.25520396678307916,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.37, 's': 0.053}"
Heptahelicium serratus limus,-1,0.9272569393513252,stable,0.23286217172033083,0.2356352143795915,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.37, 's': 0.058}"
Nonahelicium solidus,-1,0.8885759738426854,stable,0.3477700541173302,0.3546438669660734,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.4, 's': 0.063}"
Nonahelicium ignis,-1,0.9071737266355874,stable,0.30128399874997464,0.3184614805755896,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.372, 's': 0.0496}"
Nonahelicium serratus,-1,0.9096986572962259,stable,0.27804973811088823,0.2720734202216737,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.39, 's': 0.064}"
Tetrahelicium(?),124,,,0.15494597831658674,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.372, 's': 0.0575}"
Tetrahelicium serratus,-1,0.9809421189219409,stable,0.12103462340100961,0.027207923450542067,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.36, 's': 0.058}"
Tetrahelicium serratus fractus,-1,0.974447353376812,stable,0.12164232472331292,0.1216541884878724,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.31, 's': 0.047}"
Tetrahelicium serratus turbulentus,-1,0.970937517801317,stable,0.11983371379479787,0.11891887728988491,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.29, 's': 0.043}"
