Animal,MSE,SSIM
Hexaradium valvatus,0.012438115607954272,0.9686653265013585
Hexaradium lithos,0.014858796186788134,0.9623844281359168
Tetrastrium rotans,0.011517020947472128,0.9622507389013177
Astrium solidus,0.011087271262480177,0.9724232542597451
Astrium limus,0.007756285236597702,0.9707522529283451
Astrium rotans,0.009667003591992865,0.9696130896744648
Astrium scintillans,0.015129124202530275,0.96759024985227
Astrium inversus,0.017154894883428248,0.9666675320876381
Astrium reversus,0.3273174455343227,0.3581484144239377
Astrium solidus,0.011087271262480177,0.9724232542597451
Astrium currens,0.015418091289633194,0.9576306302650484
Astrium rotans,0.009667003591992865,0.9696130896744648
Astrium rotans,0.009667003591992865,0.9696130896744648
Astrium nausia,0.017465966975216865,0.9517360839726587
Hexastrium,0.08839339930506541,0.7397758258818955
Hexastrium rotans,0.09818754822441493,0.7810260009614679
Hexastrium,0.053213780642586396,0.8413044832885191
Quadrium solidus,0.009076361621356568,0.966122679921993
Quadrium minus,0.007871732730124833,0.9681198097802948
Quadrium gyrans,0.012580895634716815,0.966835480249872
Quadrium vagus,0.006851213184607484,0.9669083673497224
Cumulocircium lithos,0.0022084333455732173,0.9924275181302453
Cumulocircium scintillans,0.11298025136695643,0.6527865736317254
Cumulocircium scintillans,0.12538365428812714,0.6200137360655431
Cumulocircium lithos,0.0022084333455732173,0.9924275181302453
Cumulocircium scintillans,0.10932284374503122,0.6694032478270399
Cumulocircium lithos,0.0022084333455732173,0.9924275181302453
Dicircium inversus,0.0030389115664648217,0.989733602493533
Dicircium rotans,0.003600659029576073,0.9911023256824916
Dicircium limus,0.002659784454146242,0.9904919735606283
Tricircium inversus,0.002612352323550438,0.9900414154071865
Tricircium rotans,0.0034905456106108664,0.9911328989659329
Tricircium torquens,0.0023747319709516773,0.9912191060859219
Tricircium vagus,0.0030884840340854474,0.9905506781651574
Tricircium rotans,0.003168974765921465,0.991664964134618
Tetrcircium torquens,0.0030006194563839627,0.9902128864783862
Tetrcircium lithos,0.00307619369841227,0.9916371263956713
Pentcircium rotans,0.004647693861360414,0.9849742531890874
Pentcircium inversus,0.0056355944453455415,0.9849592595753041
Hexcircium inversus,0.005212545955882353,0.9845157107904966
Heptcircium lithos,0.010982449893445432,0.9751546762757454
Heptcircium ventilans,0.008645119496557815,0.9739496253973589
Octcircium lithos,0.011564792162269322,0.9734876991647134
Octcircium ventilans,0.006924122339551444,0.9759334900833203
Deccircium lithos,0.00963296399672001,0.9739503146725099
Hexadentium rotans,0.09964292916427708,0.7051979226213335
Hexadentium scintillans,0.014495791701163135,0.9323956151551678
Hexadentium torquens,0.006063574322000554,0.9831207223113246
Heptadentium rotans,0.09163358748643255,0.7256390969808199
Heptadentium scintillans,0.021045106233581613,0.913643986281168
Octadentium rotans,0.04037884841013391,0.8492228200766639
Octadentium scintillans,0.087221896102594,0.7009655913761395
Octadentium alternatus,0.03213556600821804,0.8772580609907955
Nonadentium rotans,0.04308321820395343,0.8573571846913871
Decadentium rotans bioculi,0.08233967699240556,0.7357172499338636
Decadentium rotans trioculi,0.023779697146520375,0.9193787087631162
Decadentium rotans,0.011088452542666884,0.9672014206865167
Decadentium rotans,0.011088452542666884,0.9672014206865167
Decadentium vagus,0.022561995422364613,0.9203310189542693
Decadentium volubilis,0.008102441162203239,0.9714090884809587
Undecadentium rotans,0.011096946543246588,0.9654663618412634
Undecadentium scintillans,0.009014895863369858,0.9648599364435693
Dodecadentium rotans,0.014654848186019202,0.9601720570557226
Dodecadentium scintillans,0.01078069573226043,0.9614350898474007
Dodecadentium nausia,0.06700514207512348,0.8178999884583161
Tridecadentium rotans,0.013176848203665655,0.9581378808040497
Bifolium lithos,0.008017711177416736,0.9808055262828714
Bifolium lithos limus,0.007056806623729456,0.9834067894459364
Tetrafolium lithos,0.008743972983648117,0.9776709548651122
Pentafolium lithos,0.00488023499074875,0.9856891037128781
Pentafolium incarceratus,0.27011168397020835,0.14725956995530948
Pentafolium incarceratus,0.2700959630809757,0.1443853760754096
Hexafolium incarceratus,0.21506567223654208,0.24559908891711282
Octafolium lithos,0.008626421994770641,0.9756296476994907
Octafolium lithos limus,0.021396747854320813,0.944887998933096
Octafolium tardus,0.1223679045366858,0.7426708679109078
Octafolium lithos,0.008626421994770641,0.9756296476994907
Dodecafolium lithos,0.0895046382785514,0.7754711220733785
Dodecafolium ventilans,0.017093014011287724,0.9600051198071649
Heptafolium nausia,0.01083785406491794,0.9607072352016652
Nonafolium lithos,0.010417919987579898,0.9602786419374054
Nonafolium rotans,0.012725677314239117,0.9607604697839129
Dodecafolium lithos,0.10149404861640487,0.7413031960616572
Tridecafolium lithos,0.007743408484717417,0.9631739967125579
Bug (smaller),0.015168181166928224,0.9495029916331748
Bug (bigger),0.035285628513345456,0.9084003626762105
