Animal,MSE,SSIM
Crucium arcus valvatus,0.010823287424977098,0.9642390652636853
Crucium arcus anulus,0.01364345763602752,0.9670332219663269
Crucium arcus vagus,0.009881427376274836,0.9683349020194447
Crucium arcus vagus,0.010000177472903502,0.9678185229957614
Crucium arcus gyrans,0.010390759897688921,0.9703233462796155
Crucium cavus,0.015010975965498288,0.9493015587779663
Crucium cavus anulus,0.008329948221326947,0.9793780745462903
Crucium crux,0.01174575797541621,0.9723341398529182
Crucium crux rotans,0.005850169819386837,0.9803472307599664
Crucium crux ventilans,0.009760034470050638,0.974633706927328
Crucium crux ventilans,0.009587824161644986,0.9746562860715786
Crucium,0.019927702047897105,0.9605412071781974
Crucium,0.020165752357530327,0.9600437930883265
Triradium lithos,0.011310619473356365,0.9785577515344033
Triradium gyrans,0.013225195571677376,0.9676523591174714
Triradium rotans,0.012597197506986312,0.967028383331788
Triradium ventilans,0.012563644054847362,0.9637427010315154
Triradium limus,0.012581285222987139,0.9697023879357732
Hexaradium solidus,0.016155864803799175,0.9500351092849986
Hexaradium valvatus,0.019126116283560986,0.9558434279277286
Hexaradium lithos,0.01346504426637736,0.9661439921005387
Tetrastrium rotans,0.11034211985528812,0.4579766583687592
Astrium solidus,0.01756107235037862,0.9567794196229739
Astrium limus,0.10774265484313275,0.5145417356139276
Astrium rotans,0.06564594359320995,0.7600526942743443
Astrium scintillans,0.013993283192015295,0.9680498184058712
Astrium inversus,0.014354361051271095,0.9689056003515197
Astrium reversus,0.01207525473381943,0.9656712408931123
Astrium solidus,0.0178022826536878,0.9563451522505007
Astrium currens,0.02834500602712833,0.9210983631647406
Astrium rotans,0.06719438746514304,0.7575375881922524
Astrium rotans,0.06779586294108775,0.7515573058543811
Astrium nausia,0.018708773472686402,0.9479687108033088
Hexastrium,0.13762326307437095,0.44942134835408587
Hexastrium rotans,0.08090158739839694,0.7291349892726269
Hexastrium,0.13297722666527081,0.46569590195550975
Quadrium solidus,0.01233999931686789,0.9561597190467102
Quadrium minus,0.013382424337721844,0.9492743502692637
Quadrium gyrans,0.01583130828838589,0.9580610959175186
Quadrium vagus,0.008675692107467764,0.9602850231452061
Cumulocircium lithos,0.0036436846418719474,0.9849148679818593
Cumulocircium scintillans,0.16062600693662896,0.4930104588829799
Cumulocircium scintillans,0.15287121215948316,0.5166331847667915
Cumulocircium lithos,0.003585639576326581,0.9850489704406928
Cumulocircium scintillans,0.14952938997162693,0.5261126379222908
Cumulocircium lithos,0.002819243101644472,0.98891866862057
Dicircium inversus,0.0019892677199283564,0.9923448033824062
Dicircium rotans,0.0026476389899341315,0.9930395695381311
Dicircium limus,0.001416753610822717,0.9937122711514169
Tricircium inversus,0.002485304217199665,0.9901036855577877
Tricircium rotans,0.0026969096908559657,0.9928325091312697
Tricircium torquens,0.0018606458354632669,0.9922039568405905
Tricircium vagus,0.002295486293379571,0.9921643719267527
Tricircium rotans,0.0027514322674271627,0.9925995331316325
Tetrcircium torquens,0.002628318489646433,0.9912757823524759
Tetrcircium lithos,0.0024508217858146292,0.9928717773488678
Pentcircium rotans,0.00362050276355313,0.9871116371570929
Pentcircium inversus,0.006215237262095214,0.9810050051933804
Hexcircium inversus,0.0067268826303797805,0.9787466144151772
Heptcircium lithos,0.007288840354175862,0.9829236991553313
Heptcircium ventilans,0.0073201094717071005,0.977247795069367
Octcircium lithos,0.010832194563569217,0.9710080310358146
Octcircium ventilans,0.012158195510046464,0.9616037655756782
Deccircium lithos,0.1020652543418392,0.5776282809887824
Hexadentium rotans,0.07464189405342268,0.7501351896934412
Hexadentium scintillans,0.03705843933804116,0.8134012048854364
Hexadentium torquens,0.007414200034516819,0.9764468192304888
Heptadentium rotans,0.05769054559863187,0.8244167233567541
Heptadentium scintillans,0.04551788661448841,0.7943233517941757
Octadentium rotans,0.06903252867240968,0.7664421623643861
Octadentium scintillans,0.08301992757278873,0.6712381716787124
Octadentium alternatus,0.04223975144830936,0.8259784784311636
Nonadentium rotans,0.02649190301074377,0.9141767899705533
Decadentium rotans bioculi,0.09708347862930324,0.685490848511191
Decadentium rotans trioculi,0.035632261114791564,0.891276193157044
Decadentium rotans,0.03702411961805811,0.8757150648060769
Decadentium rotans,0.03703908695104501,0.8759882500026172
Decadentium vagus,0.023639661305094116,0.8738204400324273
Decadentium volubilis,0.01010641339226575,0.9649593160811576
Undecadentium rotans,0.059013258101459694,0.7401795122886127
Undecadentium scintillans,0.03354267862067673,0.8386267187483715
Dodecadentium rotans,0.10237791632704152,0.5885992556410968
Dodecadentium scintillans,0.032858654169337975,0.8532011500451889
Dodecadentium nausia,0.1193364447039366,0.5897199705947849
Tridecadentium rotans,0.01960468826376002,0.9393036398077762
Bifolium lithos,0.0028561188434761604,0.9897698775650963
Bifolium lithos limus,0.002171498598424346,0.9917723460615628
Tetrafolium lithos,0.0029985757237329536,0.9881681723558136
Pentafolium lithos,0.004335557714936367,0.9875322711794018
Pentafolium incarceratus,0.2258127837928982,0.36151976012610854
Pentafolium incarceratus,0.24130412826409584,0.3218768189625898
Hexafolium incarceratus,0.19138530506737336,0.3364303132895135
Octafolium lithos,0.011841703882592623,0.9620332871563732
Octafolium lithos limus,0.005141253247284775,0.9835346451050823
Octafolium tardus,0.017075616254364625,0.9457488869140025
Octafolium lithos,0.011643280972378664,0.9626545713547185
Dodecafolium lithos,0.07013460323855747,0.8093701484948463
Dodecafolium ventilans,0.011674733787453212,0.97035257302751
Heptafolium nausia,0.012676338662139621,0.9597995628848652
Nonafolium lithos,0.010331897952464794,0.960508702562745
Nonafolium rotans,0.012082504026356165,0.9627634308686364
Dodecafolium lithos,0.07064620542405581,0.8095677546433544
Tridecafolium lithos,0.073309939439361,0.6302488391601492
Bug (smaller),0.012970457018580444,0.9558925869756363
Bug (bigger),0.033326668264342656,0.9136599527612338
