Animal,Extinction Frame,Final state check,Initial Entropy,Final Entropy,params,size,symmetry,circularity,MSE,SSIM,tolerance
Pyroscutium ambiguus serratus,-1,stable,0.1227511860642511,0.1657802989503451,"{'R': 13, 'T': 10, 'b': '5/12,1,1/2', 'm': 0.304, 's': 0.046}",716,0.9559939301972686,0.0746485528318788,0.141672532290169,0.5488878939961277,0.05
Paraptera arcus labens,-1,stable,0.1331986688264595,0.1381973370613279,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.357, 's': 0.059}",779,0.9647519582245432,0.053490162488438,0.1200611511734849,0.6745263083990141,0.2
Paraptera arcus saliens,-1,stable,0.1375641090625841,0.1464061719690652,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.33, 's': 0.0565}",812,0.9637952559300874,0.0875248859978266,0.1884467262431305,0.4766298181863537,0.22
Paraptera arcus saliens ignis,-1,stable,0.1107438221749773,0.1333215269805801,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.313, 's': 0.05}",656,0.9646017699115044,0.1120022349534353,0.1666283979044286,0.5136972209071209,0.22
Paraptera arcus pedes,-1,stable,0.1503586869151526,0.1576664075502551,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.362, 's': 0.0665}",907,0.9498886414253898,0.0588115803873629,0.1807206853376792,0.5289568746095108,0.15
Paraptera cavus labens,-1,stable,0.1176382328939951,0.1205761202969891,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.329, 's': 0.0481}",686,0.9678407350689128,0.0983068345445749,0.057495781947388,0.8239461411573432,0.32
Paraptera cavus salien,-1,stable,0.1029973038894231,0.1038030843042783,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.261, 's': 0.0372}",592,0.9546875,0.124103454608995,0.1094076161143761,0.621706747755186,0.33
Paraptera cavus pedes,-1,stable,0.1154462073685999,0.1175214401281577,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.301, 's': 0.0454}",669,0.9424242424242424,0.0981386136761249,0.129051566497428,0.6071792591189596,0.32
Paraptera cavus furiosus,-1,stable,0.1092542333075036,0.1098307188853283,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.297, 's': 0.0405}",633,0.9487179487179488,0.119355753774445,0.0295716964207953,0.8912982172858197,0.27
Paraptera orbis pedes,-1,stable,0.1070504533448008,0.1103907823347642,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.246, 's': 0.037}",623,0.9391304347826088,0.1318521268404305,0.1524342957908783,0.4596320454752877,0.27
