Animal,MSE,SSIM,tolerance
Cumulocircium scintillans,0.1495293899716269,0.5261126379222908,0.01
Cumulocircium scintillans,0.1495293899716269,0.5261126379222908,0.01
Cumulocircium scintillans,0.1495293899716269,0.5261126379222908,0.01
Dicircium inversus,0.0019892677199283,0.9923448033824062,0.36
Dicircium rotans,0.0026476389899341,0.9930395695381312,0.39
Dicircium limus,0.0014167536108227,0.9937122711514168,0.31
Tricircium inversus,0.0024853042171996,0.9901036855577876,0.22
Tricircium rotans,0.0026969096908559,0.9928325091312696,0.34
Tricircium rotans,0.0026969096908559,0.9928325091312696,0.34
Tricircium rotans,0.0027514322674271,0.9925995331316324,0.34
Tricircium rotans,0.0027514322674271,0.9925995331316324,0.34
Tricircium torquens,0.0018606458354632,0.9922039568405904,0.38
Tricircium vagus,0.0022954862933795,0.9921643719267528,0.24
Tetrcircium torquens,0.0026283184896464,0.991275782352476,0.4
Tetrcircium lithos,0.0024508217858146,0.9928717773488678,0.46
Pentcircium rotans,0.0036205027635531,0.9871116371570928,0.59
Pentcircium inversus,0.0062152372620952,0.9810050051933804,0.39
Hexcircium inversus,0.0067268826303797,0.9787466144151772,0.14
Heptcircium lithos,0.0072888403541758,0.9829236991553312,0.57
Heptcircium ventilans,0.0073201094717071,0.977247795069367,0.1
Octcircium lithos,0.0108321945635692,0.9710080310358146,0.55
Octcircium ventilans,0.0121581955100464,0.9616037655756782,0.37
Deccircium lithos,0.1020652543418392,0.5776282809887824,0.56
Hexadentium rotans,0.0746418940534226,0.7501351896934412,0.14
Hexadentium scintillans,0.0370584393380411,0.8134012048854364,0.11
Hexadentium torquens,0.0074142000345168,0.9764468192304888,0.15
Heptadentium rotans,0.0576905455986318,0.8244167233567541,0.15
Heptadentium scintillans,0.0455178866144884,0.7943233517941757,0.09
Octadentium rotans,0.0690325286724096,0.7664421623643861,0.13
Octadentium scintillans,0.0830199275727887,0.6712381716787124,0.11
Octadentium alternatus,0.0422397514483093,0.8259784784311636,0.05
Nonadentium rotans,0.0264919030107437,0.9141767899705532,0.1
Decadentium rotans bioculi,0.0970834786293032,0.685490848511191,0.07
Decadentium rotans trioculi,0.0356322611147915,0.891276193157044,0.21
Decadentium rotans,0.0370241196180581,0.8757150648060769,0.27
